stratum,method,snr_db,conditions,records,availability,standardized_absolute_bias,standardized_rmse,pass_proportion_half_tolerance,pass_proportion_primary_tolerance,pass_proportion_double_tolerance,numerical_gates_pass,interpretation
sag,vmd,30.0,4,400,1.0,13.244839640146346,17.472155847956625,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
sag,vmd,40.0,7,700,1.0,2.4878130090246837,10.52652231377431,0.14285714285714285,0.14285714285714285,0.2857142857142857,False,exploratory SNR slice; not a frozen validity domain
sag,vmd,50.0,2,200,1.0,16.26149724373139,27.611087626233875,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
sag,wavelet,20.0,6,600,1.0,1.2432176482276793,3.865591264406695,0.2866666666666667,0.34833333333333333,0.49333333333333335,False,exploratory SNR slice; not a frozen validity domain
sag,wavelet,30.0,4,400,1.0,2.4822782218376322,4.807831169069821,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
sag,wavelet,40.0,7,700,1.0,0.8223053306000377,3.8863956785209752,0.2857142857142857,0.5714285714285714,0.5714285714285714,False,exploratory SNR slice; not a frozen validity domain
sag,wavelet,50.0,2,200,1.0,5.311252220380559,5.650787803608712,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
swell,s_transform,20.0,3,300,1.0,1.227833206708153,1.9069370894047717,0.0,0.3333333333333333,0.6666666666666666,False,exploratory SNR slice; not a frozen validity domain
swell,s_transform,30.0,4,400,1.0,0.7499881356683954,0.9116987527291971,0.25,0.6125,1.0,False,exploratory SNR slice; not a frozen validity domain
swell,s_transform,40.0,7,700,1.0,1.4424505303512904,3.851062446203027,0.14285714285714285,0.2857142857142857,0.42857142857142855,False,exploratory SNR slice; not a frozen validity domain
swell,s_transform,50.0,4,400,1.0,0.5381422646653674,0.7778439255955403,0.75,0.75,1.0,False,exploratory SNR slice; not a frozen validity domain
swell,stft,20.0,3,300,1.0,0.9557187032268448,3.056021713758512,0.0,0.09333333333333334,0.6666666666666666,False,exploratory SNR slice; not a frozen validity domain
swell,stft,30.0,4,400,1.0,1.0039773572868453,1.0700543158543296,0.0575,0.5,1.0,False,exploratory SNR slice; not a frozen validity domain
swell,stft,40.0,7,700,1.0,2.015491207869657,4.3081975661732175,0.0,0.14285714285714285,0.5714285714285714,False,exploratory SNR slice; not a frozen validity domain
swell,stft,50.0,4,400,1.0,1.2342952332326913,1.2436913826261644,0.0,0.0,1.0,False,exploratory SNR slice; not a frozen validity domain
swell,vmd,20.0,3,300,1.0,1.2913256362305352,2.7284740797488327,0.0,0.3333333333333333,0.6666666666666666,False,exploratory SNR slice; not a frozen validity domain
swell,vmd,30.0,4,400,1.0,0.2903168904979881,1.3054927802377658,0.0,0.25,1.0,False,exploratory SNR slice; not a frozen validity domain
swell,vmd,40.0,7,700,1.0,1.6680368513529704,4.097337233319894,0.2857142857142857,0.2857142857142857,0.42857142857142855,False,exploratory SNR slice; not a frozen validity domain
swell,vmd,50.0,4,400,1.0,0.9923526582404426,2.1877432346877095,0.0,0.0,0.25,False,exploratory SNR slice; not a frozen validity domain
swell,wavelet,20.0,3,300,1.0,0.06952719289227645,2.355759002781301,0.0,0.0,0.6566666666666666,False,exploratory SNR slice; not a frozen validity domain
swell,wavelet,30.0,4,400,1.0,1.1766204483480818,1.5831907458389107,0.035,0.25,0.715,False,exploratory SNR slice; not a frozen validity domain
swell,wavelet,40.0,7,700,1.0,1.5509177181849678,3.2318794990177175,0.0,0.17285714285714285,0.5714285714285714,False,exploratory SNR slice; not a frozen validity domain
swell,wavelet,50.0,4,400,1.0,0.682987343223499,0.7817490513753657,0.25,0.75,1.0,False,exploratory SNR slice; not a frozen validity domain
