stratum,outcome,tolerance_level,primary_decision_level,method_a,method_b,condition_n,probability_difference_a_minus_b,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,bootstrap_p_value,holm_p_value
harmonics,qualification_pass,double_tolerance,False,stft,s_transform,27,0.18740740740740744,0.011481481481481481,0.37037037037037035,0.041979010494752625,0.08395802098950525
harmonics,qualification_pass,double_tolerance,False,stft,vmd,27,-0.15148148148148147,-0.3607592592592593,0.0685370370370369,0.17191404297851073,0.17191404297851073
harmonics,qualification_pass,double_tolerance,False,wavelet,s_transform,27,0.5507407407407408,0.33222222222222214,0.7408333333333328,0.0009995002498750624,0.005997001499250375
harmonics,qualification_pass,double_tolerance,False,wavelet,vmd,27,0.21185185185185182,0.0766574074074073,0.35926851851851854,0.0009995002498750624,0.005997001499250375
harmonics,qualification_pass,double_tolerance,False,s_transform,vmd,27,-0.3388888888888889,-0.5555555555555556,-0.10259259259259257,0.005997001499250375,0.017991004497751123
impulsive_transient,qualification_pass,half_tolerance,False,stft,wavelet,34,-0.0002941176470588262,-0.1076544117647059,0.1082426470588235,0.9785107446276862,1.0
impulsive_transient,qualification_pass,half_tolerance,False,stft,s_transform,34,-0.015588235294117648,-0.13824264705882353,0.09411764705882353,0.8295852073963018,1.0
impulsive_transient,qualification_pass,half_tolerance,False,stft,vmd,34,0.06,-0.003823529411764706,0.1461985294117646,0.0879560219890055,0.4097951024487756
impulsive_transient,qualification_pass,half_tolerance,False,wavelet,s_transform,34,-0.015294117647058817,-0.13413235294117648,0.09853676470588234,0.7996001999000499,1.0
impulsive_transient,qualification_pass,half_tolerance,False,wavelet,vmd,34,0.06029411764705883,0.0032352941176470576,0.1394191176470588,0.029985007496251874,0.17991004497751123
impulsive_transient,qualification_pass,half_tolerance,False,s_transform,vmd,34,0.07558823529411764,-0.0005882352941176471,0.17441911764705878,0.08195902048975512,0.4097951024487756
impulsive_transient,qualification_pass,primary_tolerance,True,stft,wavelet,34,-0.11558823529411766,-0.2765220588235294,0.054433823529411646,0.17491254372813594,0.6996501749125438
impulsive_transient,qualification_pass,primary_tolerance,True,stft,s_transform,34,-0.06558823529411764,-0.2164705882352941,0.08443382352941166,0.36881559220389803,1.0
impulsive_transient,qualification_pass,primary_tolerance,True,stft,vmd,34,0.03852941176470588,-0.07300735294117645,0.15382352941176472,0.5477261369315343,1.0
impulsive_transient,qualification_pass,primary_tolerance,True,wavelet,s_transform,34,0.05,-0.13619852941176472,0.24,0.6286856571714143,1.0
impulsive_transient,qualification_pass,primary_tolerance,True,wavelet,vmd,34,0.15411764705882353,0.004992647058823548,0.301485294117647,0.04297851074462768,0.21489255372313842
impulsive_transient,qualification_pass,primary_tolerance,True,s_transform,vmd,34,0.10411764705882354,0.016470588235294126,0.20911764705882355,0.012993503248375811,0.07796101949025487
impulsive_transient,qualification_pass,double_tolerance,False,stft,wavelet,34,-0.01647058823529412,-0.21941176470588236,0.19942647058823526,0.9015492253873063,1.0
impulsive_transient,qualification_pass,double_tolerance,False,stft,s_transform,34,0.01617647058823529,-0.18,0.20823529411764696,0.8615692153923038,1.0
impulsive_transient,qualification_pass,double_tolerance,False,stft,vmd,34,0.1335294117647059,-0.05882352941176469,0.31005882352941144,0.16491754122938532,0.6596701649175413
impulsive_transient,qualification_pass,double_tolerance,False,wavelet,s_transform,34,0.03264705882352941,-0.19823529411764704,0.24618382352941168,0.7416291854072964,1.0
impulsive_transient,qualification_pass,double_tolerance,False,wavelet,vmd,34,0.15,-0.02941176470588236,0.3264705882352941,0.11694152923538231,0.5847076461769116
impulsive_transient,qualification_pass,double_tolerance,False,s_transform,vmd,34,0.11735294117647059,-0.0006691176470588384,0.26088235294117645,0.07496251874062969,0.4497751124437781
interruption,qualification_pass,half_tolerance,False,stft,wavelet,20,0.5905000000000001,0.39346250000000005,0.7830125,0.0009995002498750624,0.005997001499250375
interruption,qualification_pass,half_tolerance,False,stft,s_transform,20,0.5905000000000001,0.39346250000000005,0.7830125,0.0009995002498750624,0.005997001499250375
interruption,qualification_pass,half_tolerance,False,stft,vmd,20,0.5535000000000001,0.32994999999999997,0.7725374999999999,0.0009995002498750624,0.005997001499250375
interruption,qualification_pass,half_tolerance,False,wavelet,s_transform,20,0.0,0.0,0.0,1.0,1.0
interruption,qualification_pass,half_tolerance,False,wavelet,vmd,20,-0.037,-0.0925,-0.0009875000000000682,0.015992003998001,0.047976011994003
interruption,qualification_pass,half_tolerance,False,s_transform,vmd,20,-0.037,-0.0925,-0.0009875000000000682,0.015992003998001,0.047976011994003
interruption,qualification_pass,primary_tolerance,True,stft,wavelet,20,0.6195,0.30399999999999994,0.8780000000000001,0.0009995002498750624,0.005997001499250375
interruption,qualification_pass,primary_tolerance,True,stft,s_transform,20,0.657,0.36849999999999994,0.9135,0.0009995002498750624,0.005997001499250375
interruption,qualification_pass,primary_tolerance,True,stft,vmd,20,0.7165,0.47796250000000007,0.9200124999999998,0.0009995002498750624,0.005997001499250375
interruption,qualification_pass,primary_tolerance,True,wavelet,s_transform,20,0.0375,0.0,0.11050000000000001,0.24287856071964017,0.48575712143928035
interruption,qualification_pass,primary_tolerance,True,wavelet,vmd,20,0.097,-0.0105,0.23401249999999993,0.08895552223888056,0.26686656671664166
