stratum,model,term,estimate,standard_error,z,p_value,holm_p_value
interruption,continuous_error,"C(method, Treatment(reference='stft'))[T.wavelet]:snr_scaled",0.0714508669014467,0.0032819914236339883,21.770583063356288,4.409853281319278e-105,3.96886795318735e-104
interruption,continuous_error,"C(method, Treatment(reference='stft'))[T.s_transform]:snr_scaled",0.06219797237338466,0.0032819914236339874,18.951290343262357,4.308871374038343e-80,3.4470970992306744e-79
interruption,continuous_error,"C(method, Treatment(reference='stft'))[T.vmd]:snr_scaled",0.04009997647487756,0.0032819914236339905,12.218184418799241,2.4857419706346843e-34,1.740019379444279e-33
interruption,continuous_error,property_scaled,0.05195028261963717,0.08003604373221175,0.6490860891807045,0.5162827327740673,1.0
notching,continuous_error,Intercept,0.1821861081042667,0.04904673754403981,3.7145408079523947,0.0002035730179587902,0.0012214381077527412
notching,continuous_error,"C(method, Treatment(reference='stft'))[T.wavelet]",0.018562790553115393,0.001996724452926389,9.29662103647294,1.4497987199191272e-20,1.1598389759353017e-19
notching,continuous_error,"C(method, Treatment(reference='stft'))[T.s_transform]",0.015082645271833917,0.0019967244529263905,7.553693875851953,4.2308394529189425e-14,2.96158761704326e-13
notching,continuous_error,"C(method, Treatment(reference='stft'))[T.vmd]",0.031092918295502384,0.001996724452926389,15.57196249584301,1.1288973835437679e-54,1.1288973835437678e-53
notching,continuous_error,C(phase_deg)[T.45.0],-0.15161990381403154,0.07373931137234255,-2.056161103111409,0.03976699014610448,0.19883495073052238
notching,continuous_error,C(phase_deg)[T.90.0],0.13210564341096773,0.08504441205832479,1.5533724111158251,0.12033419004097153,0.4813367601638861
notching,continuous_error,C(phase_deg)[T.135.0],-0.09904636761026135,0.11364921017891894,-0.8715095111908987,0.3834760149113716,0.7669520298227432
notching,continuous_error,snr_scaled,-0.00723563250728833,0.021374548353035726,-0.33851627588943595,0.734974163930089,0.7669520298227432
notching,continuous_error,"C(method, Treatment(reference='stft'))[T.wavelet]:snr_scaled",0.03851036479720271,0.002241208687332277,17.18285540069087,3.569030796076019e-66,3.925933875683621e-65
notching,continuous_error,"C(method, Treatment(reference='stft'))[T.s_transform]:snr_scaled",-0.1095147946143329,0.002241208687332278,-48.86416656928495,0.0,0.0
notching,continuous_error,"C(method, Treatment(reference='stft'))[T.vmd]:snr_scaled",-0.028089485493454348,0.002241208687332277,-12.533186067063399,4.914783038764827e-36,4.4233047348883444e-35
notching,continuous_error,property_scaled,-0.09023207897742376,0.06502899851147675,-1.38756679393577,0.16526899877202306,0.49580699631606917
oscillatory_transient,continuous_error,Intercept,0.34088885522064205,0.03895249292164182,8.751400222480905,2.107216098504392e-18,1.6857728788035135e-17
oscillatory_transient,continuous_error,"C(method, Treatment(reference='stft'))[T.wavelet]",-0.003543273268131355,0.0016643715663340127,-2.1288955782487076,0.033262900702137256,0.16631450351068627
oscillatory_transient,continuous_error,"C(method, Treatment(reference='stft'))[T.s_transform]",-0.0939006017593362,0.0016643715663340135,-56.41805210970049,0.0,0.0
oscillatory_transient,continuous_error,"C(method, Treatment(reference='stft'))[T.vmd]",-0.1965044175443195,0.0020836557106678573,-94.30752716884092,0.0,0.0
oscillatory_transient,continuous_error,C(phase_deg)[T.45.0],-0.04708088507049427,0.046810829211765013,-1.0057690894025306,0.31452665969783644,0.8938378689678104
oscillatory_transient,continuous_error,C(phase_deg)[T.90.0],-0.05644449643607738,0.04589522373489259,-1.2298555675884968,0.2187511953816259,0.8750047815265036
oscillatory_transient,continuous_error,C(phase_deg)[T.135.0],-0.1353093059706869,0.04906796194482713,-2.7575896900472663,0.005822923668481775,0.03493754201089065
oscillatory_transient,continuous_error,snr_scaled,0.04144823471611636,0.013670360157551988,3.031978253566267,0.0024295670650027086,0.01700696945501896
oscillatory_transient,continuous_error,"C(method, Treatment(reference='stft'))[T.wavelet]:snr_scaled",0.001575007364352214,0.0015131958752169492,1.0408483066519083,0.29794595632260346,0.8938378689678104
oscillatory_transient,continuous_error,"C(method, Treatment(reference='stft'))[T.s_transform]:snr_scaled",-0.02253928693144827,0.0015131958752169503,-14.895154884173051,3.5436251679993813e-50,3.543625167999381e-49
oscillatory_transient,continuous_error,"C(method, Treatment(reference='stft'))[T.vmd]:snr_scaled",-0.026867541905117247,0.0018553861142976717,-14.480835928476024,1.6013772338070937e-47,1.4412395104263844e-46
oscillatory_transient,continuous_error,property_scaled,0.00686030367450019,0.014632384658154366,0.46884385797478784,0.6391812482640762,0.8938378689678104
sag,continuous_error,Intercept,0.2021983064513231,0.062444790701688825,3.23803321588929,0.0012035679588139339,0.008424975711697537
sag,continuous_error,"C(method, Treatment(reference='stft'))[T.wavelet]",-0.05028628811095671,0.0031529331362873604,-15.949049959927086,2.8926384166164065e-57,2.8926384166164066e-56
sag,continuous_error,"C(method, Treatment(reference='stft'))[T.s_transform]",-0.04487128900076991,0.003152933136287361,-14.23160183270068,5.833019352436814e-46,5.249717417193133e-45
sag,continuous_error,"C(method, Treatment(reference='stft'))[T.vmd]",0.09041855261504443,0.0031529331362873626,28.677599145509937,7.260404412881623e-181,8.712485295457948e-180
sag,continuous_error,C(phase_deg)[T.45.0],-0.10133412610782143,0.09623550956486794,-1.0529806156376897,0.2923498763374811,0.9926164021198542
sag,continuous_error,C(phase_deg)[T.90.0],-0.08711572293259608,0.05153442304045289,-1.6904375326801078,0.09094427963670496,0.47813793673429283
sag,continuous_error,C(phase_deg)[T.135.0],0.04085008055729277,0.12784051042372474,0.31953940438673173,0.7493175158689791,0.9926164021198542
sag,continuous_error,snr_scaled,-0.013652174757831587,0.011821656053350475,-1.1548445240007055,0.24815410052996356,0.9926164021198542
sag,continuous_error,"C(method, Treatment(reference='stft'))[T.wavelet]:snr_scaled",0.0058624827265174005,0.0033452311026712276,1.7524896028367374,0.07968965612238214,0.47813793673429283
sag,continuous_error,"C(method, Treatment(reference='stft'))[T.s_transform]:snr_scaled",0.05699748580948657,0.0033452311026712293,17.038429950018404,4.260153907521742e-65,4.686169298273916e-64
sag,continuous_error,"C(method, Treatment(reference='stft'))[T.vmd]:snr_scaled",0.022991328872887098,0.0033452311026712267,6.872867125541226,6.292417333533255e-12,5.033933866826604e-11
sag,continuous_error,property_scaled,0.03550893723102796,0.047078441849629546,0.754250477202388,0.4506988329181212,0.9926164021198542
swell,continuous_error,Intercept,0.11580519698554398,0.04679146336014648,2.474921463648395,0.013326547737820745,0.06663273868910373
swell,continuous_error,"C(method, Treatment(reference='stft'))[T.wavelet]",-0.01635002919011211,0.002627368407980439,-6.222967871749577,4.878373080047692e-10,4.390535772042923e-09
swell,continuous_error,"C(method, Treatment(reference='stft'))[T.s_transform]",-0.04598357394334921,0.002627368407980438,-17.50176100301636,1.3890720570721004e-68,1.6668864684865206e-67
swell,continuous_error,"C(method, Treatment(reference='stft'))[T.vmd]",0.01513698163057065,0.0026273684079804386,5.761271081966724,8.348283294919002e-09,6.678626635935202e-08
swell,continuous_error,C(phase_deg)[T.45.0],0.004967074814481915,0.055682999391556014,0.08920271660572834,0.9289208064476365,1.0
swell,continuous_error,C(phase_deg)[T.90.0],0.018293616040869997,0.07112984588438764,0.257186217872648,0.79703502280205,1.0
swell,continuous_error,C(phase_deg)[T.135.0],0.35404069663157667,0.1103631801767084,3.2079602641451896,0.0013367996696683378,0.009357597687678364
swell,continuous_error,snr_scaled,0.012969533213000442,0.015419560037989142,0.841109161418836,0.4002867831879051,1.0
swell,continuous_error,"C(method, Treatment(reference='stft'))[T.wavelet]:snr_scaled",-0.030308815466467035,0.0026581361501815345,-11.402281054865126,4.073051054320885e-30,4.4803561597529735e-29
swell,continuous_error,"C(method, Treatment(reference='stft'))[T.s_transform]:snr_scaled",-0.0083041504227839,0.0026581361501815362,-3.1240500687734793,0.0017838010028332642,0.010702806016999585
swell,continuous_error,"C(method, Treatment(reference='stft'))[T.vmd]:snr_scaled",0.029009770103426005,0.0026581361501815345,10.913575702826513,9.927313628506994e-28,9.927313628506993e-27
swell,continuous_error,property_scaled,0.043113117515170586,0.04861545112311179,0.8868192420140807,0.37517622620904234,1.0
